id;nome;cep;cidade;bairro;rua;numero;referencia;estado;detalhes
1;duh within;quintess;before;train;presume lotion short;113;signature;in;profuse bleakly
2;disconnection though;qualifie;treble aw chime;whoa before;ascribe;20482;micromanage gah;li;alligator
3;complication;highligh;easy elliptical;about come;willing uncork describe;8145;councilman given because;no;outside
4;bah;yowzaXXX;spanish;since address;fooey instead government;25807;enthusiastically or yet;st;commonly thorough
5;ew blight substantiate;importan;drat;ew without;carp yet dental;5780;eek chiffonier;sw;furthermore motionless
6;for translation;kaleidos;cosset highlight until;lest fearless;order regarding;20337;carpool farm;br;brr inasmuch
7;scarily mystify a;extra-la;apropos supplier;upon;stealthily;6845;taut char airline;oh;boo kit
8;unless;boohooXX;wrathful permafrost;while sensitize plain;multicolored on er;311;as gazebo incidentally;gu;irritably sheepishly exasperation
9;whether victoriously;defiantl;tired yowza;perky;vainly zowie wombat;6526;eventually failing;bi;for expert seriously
10;provided mousse boo;internal;opposite up colour;skyscraper until;contrast;10077;before;sp;hydrolyse quarrelsome
